FID,id,vejkode,vejnavn,park_id,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,stativ_foto,bemaerkning,reg_metode,reg_dato,rettet_dato,budget,projekt,faerdigmelding,projektbeskrivelse,stativ_fjernet,wkb_geometry
cykelstativ.1,6451,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (723843.0925769809 6175240.528241224)
cykelstativ.2,6450,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (723852.1345367862 6175244.378119267)
cykelstativ.3,7174,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (723457.7005674671 6175338.450505406)
cykelstativ.4,7175,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (723461.3329298219 6175320.671047563)
cykelstativ.5,7176,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,15,Ikke registreret,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (723472.4211938515 6175283.773893112)
cykelstativ.6,4569,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (723570.6002181006 6175040.983545821)
cykelstativ.7,6877,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,13,Ikke registreret,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (723555.9639225205 6175075.057817475)
cykelstativ.8,6020,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2016-05-30T12:45:44.181,2018-08-09T11:04:28.195,,,,,2,POINT (723560.4173332714 6175065.251555509)
cykelstativ.9,6588,0024,Adelgade,0,Indre By,Ikke registreret,På fortov,Enkeltsidet,Ikke registreret,10,Ikke registreret, ,2x5 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725209.9087656126 6176595.8270782605)
cykelstativ.10,6553,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,10,Ikke registreret,,,Digitaliseret manuelt,2017-02-02T15:14:21.202,2018-08-09T11:04:28.195,,,,,2,POINT (725413.8491869732 6177045.853007892)
cykelstativ.11,441,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,,,Digitaliseret manuelt,2001-08-04T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725398.351528387 6177038.789489233)
cykelstativ.12,4912,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725264.084651614 6176745.91539305)
cykelstativ.13,6593,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,48,Ikke registreret, ,2x12+24 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725251.7416979834 6176715.45590679)
cykelstativ.14,6552,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,20,Ikke registreret,,2x10 pladser,Digitaliseret manuelt,2017-02-02T15:08:53.388,2018-08-09T11:04:28.195,,,,,2,POINT (725362.6957981833 6176980.09382362)
cykelstativ.15,6550,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,4,Ikke registreret,,,Digitaliseret manuelt,2017-02-02T15:08:53.389,2018-08-09T11:04:28.195,,,,,2,POINT (725345.0448113098 6176956.944183835)
cykelstativ.16,6551,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,20,Ikke registreret,,2x10 pladser,Digitaliseret manuelt,2017-02-02T15:08:53.388,2018-08-09T11:04:28.195,,,,,2,POINT (725357.5781060525 6176969.310115201)
cykelstativ.17,6592,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,24,Ikke registreret, ,2x12 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725244.1559875234 6176696.929267782)
cykelstativ.18,4909,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725301.393136233 6176836.91218332)
cykelstativ.19,4910,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725294.6624807881 6176819.30896598)
cykelstativ.20,4911,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (725271.2426741429 6176766.36664837)
cykelstativ.21,6591,0024,Adelgade,0,Indre By,Ikke registreret,Tæt på facade,Enkeltsidet,Ikke registreret,15,Ikke registreret, ,,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725242.2230901468 6176634.821263392)
cykelstativ.22,439,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,,,Digitaliseret manuelt,2001-08-04T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725393.4362021406 6177027.411676381)
cykelstativ.23,6590,0024,Adelgade,0,Indre By,Ikke registreret,På fortov,Enkeltsidet,Ikke registreret,35,Ikke registreret, ,2x10+15,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725215.8725206254 6176610.122549836)
cykelstativ.24,6589,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,12,Ikke registreret, ,2x5 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725200.0861102977 6176548.380144998)
cykelstativ.25,105,0028,Admiralgade,0,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret, ,,Ikke registreret,2001-07-10T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725246.212120499 6175960.39368628)
cykelstativ.26,6871,0028,Admiralgade,0,Indre By,Noli,På fortovsudvidelse,Enkeltsidet,Vinkelret,12,Ikke registreret,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (725260.6966313196 6175952.589236811)
cykelstativ.27,106,0028,Admiralgade,0,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,25,Ikke registreret, ,,Ikke registreret,2001-07-10T00:00:00,2018-08-09T11:04:28.195,,,,,2,POINT (725241.007404045 6175968.63415073)
cykelstativ.28,6644,0028,Admiralgade,0,Indre By,Ikke registreret,På fortovsudvidelse,Ikke registreret,Ikke registreret,12,Ikke registreret, ,,Digitaliseret manuelt,2017-02-07T12:10:05.163,2018-08-09T11:04:28.195,,,,,2,
cykelstativ.29,3425,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725417.5762536491 6178371.98970242)
cykelstativ.30,3424,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725418.22214658 6178370.60568165)
cykelstativ.31,3423,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725419.237111417 6178368.57582991)
cykelstativ.32,3422,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725419.790435032 6178367.28407932)
cykelstativ.33,3421,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725420.3440700129 6178365.80788583)
cykelstativ.34,3420,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725421.082214105 6178364.51622394)
cykelstativ.35,3419,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725423.882297297 6178357.82509866)
cykelstativ.36,3418,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725426.812224057 6178350.66281647)
cykelstativ.37,3417,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725429.742275199 6178345.12850517)
cykelstativ.38,3416,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725431.6955256211 6178340.57077404)
cykelstativ.39,3415,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725432.979163094 6178337.64407294)
cykelstativ.40,3414,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725434.33602266 6178334.77973768)
cykelstativ.41,3413,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,1,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725434.978555787 6178333.85818003)
cykelstativ.42,3108,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,31,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725394.150690981 6178450.833087376)
cykelstativ.43,3113,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725401.92128216 6178405.10715612)
cykelstativ.44,3112,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,9,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725396.81323155 6178414.98304269)
cykelstativ.45,3111,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,14,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725392.726335475 6178424.17769666)
cykelstativ.46,3110,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725388.2996185861 6178432.69129873)
cykelstativ.47,3109,0044,Aggersborggade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725384.894034725 6178440.18319633)
cykelstativ.48,3107,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725397.494282033 6178443.92928912)
cykelstativ.49,7075,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,4,Ikke registreret,,,Digitaliseret manuelt,2017-02-12T17:35:37.351,2018-08-09T11:04:28.195,,,,,2,POINT (725436.0272038982 6178361.262900621)
cykelstativ.50,7074,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,22,Ikke registreret,,,Digitaliseret manuelt,2017-02-12T17:35:37.351,2018-08-09T11:04:28.195,,,,,2,POINT (725440.0499652257 6178352.969823422)
cykelstativ.51,7073,0044,Aggersborggade,0,Østerbro,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,26,Ikke registreret,,,Digitaliseret manuelt,2017-02-12T17:35:37.352,2018-08-09T11:04:28.195,,,,,2,POINT (725445.7437197203 6178341.272871254)
cykelstativ.52,3106,0044,Aggersborggade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (725400.0949565406 6178437.830465412)
cykelstativ.53,363,0060,Ahlefeldtsgade,0,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,20,Ikke registreret,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (724208.3721085766 6176554.265992909)
cykelstativ.54,360,0060,Ahlefeldtsgade,0,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,,,Indmålt med GPS,2001-08-06T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (724145.8578278285 6176602.509399196)
cykelstativ.55,6882,0060,Ahlefeldtsgade,0,Indre By,Noli,På fortovsudvidelse,Enkeltsidet,Vinkelret,12,Ikke registreret,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (724204.460039127 6176557.289016577)
cykelstativ.56,7766,0060,Ahlefeldtsgade,,Indre By,Noli,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,,,Digitaliseret manuelt,2018-07-06T12:58:58.871,2018-08-09T11:04:28.195,,fase 3,,,2,POINT (724124.1194871792 6176616.009999999)
cykelstativ.57,7510,0064,Ahlmannsgade,,,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,,,Digitaliseret manuelt,2017-06-14T14:29:56.959,2018-08-09T11:04:28.195,,,,,2,POINT (722719.7095661995 6176948.278557465)
cykelstativ.58,7511,0064,Ahlmannsgade,,,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,,,Digitaliseret manuelt,2017-06-14T14:29:56.959,2018-08-09T11:04:28.195,,,,,2,POINT (722747.2864532635 6176983.981549182)
cykelstativ.59,7509,0064,Ahlmannsgade,,,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,,,Digitaliseret manuelt,2017-06-14T14:29:56.96,2018-08-09T11:04:28.195,,,,,2,POINT (722714.0040033587 6176952.082266026)
cykelstativ.60,1301,0068,Ahornsgade,0,Nørrebro,Model 32,På gadeareal,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723772.990456355 6177537.02310027)
cykelstativ.61,1309,0068,Ahornsgade,0,Nørrebro,Andet,På gadeareal,Enkeltsidet,Vinkelret,6,Ikke registreret,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723680.753886653 6177496.08925016)
cykelstativ.62,1306,0068,Ahornsgade,0,Nørrebro,Andet,På gadeareal,Enkeltsidet,Vinkelret,6,Ikke registreret,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723682.5826105559 6177498.21627795)
cykelstativ.63,1302,0068,Ahornsgade,0,Nørrebro,Andet,På gadeareal,Enkeltsidet,Vinkelret,22,Ikke registreret,,,Indmålt med GPS,2001-07-07T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723721.9781029529 6177533.51492643)
cykelstativ.64,1248,0074,Aksel Larsens Plads,0,Nørrebro,NO,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,,,Indmålt med GPS,2001-08-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (722546.502731715 6178240.91887629)
cykelstativ.65,3242,0080,Aldersrogade,0,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,9,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (722901.717854338 6179025.20635153)
cykelstativ.66,3241,0080,Aldersrogade,0,Nørrebro,Model 32,På fortovsudvidelse,Enkeltsidet,Vinkelret,8,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (722927.622544255 6179034.8595107)
cykelstativ.67,818,0080,Aldersrogade,0,Østerbro,NO,Tæt på facade,Enkeltsidet,Vinkelret,8,Ikke registreret,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723695.131393049 6179161.46488689)
cykelstativ.68,1438,0080,Aldersrogade,0,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Indmålt med GPS,2001-07-30T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (722946.6840908771 6179031.1147919)
cykelstativ.69,819,0080,Aldersrogade,0,Østerbro,NO,Tæt på facade,Enkeltsidet,Vinkelret,8,Ikke registreret,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723704.099504315 6179163.23123578)
cykelstativ.70,817,0080,Aldersrogade,0,Østerbro,NO,Tæt på facade,Enkeltsidet,Vinkelret,20,Ikke registreret,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723683.862455367 6179160.00645984)
cykelstativ.71,814,0080,Aldersrogade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,,,Indmålt med GPS,2001-08-06T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (723573.3010392641 6179144.54282919)
cykelstativ.72,5015,0080,Aldersrogade,0,,NO,Tæt på facade,Dobbeltsidet,Vinkelret,8,Ikke registreret,,Tilladelse givet 03-11-2011 (eDoc 2011-141651),Digitaliseret manuelt,2012-02-13T08:47:59,2018-08-09T11:04:28.195,,,,,0,POINT (722814.133341403 6179004.94035092)
cykelstativ.73,5013,0080,Aldersrogade,0,,NO,Tæt på facade,Dobbeltsidet,Vinkelret,8,Ikke registreret,,Tilladelse givet 03-11-2011 (eDoc 2011-141651),Digitaliseret manuelt,2012-02-13T08:47:59,2018-08-09T11:04:28.195,,,,,0,POINT (722825.6057553979 6179009.95045576)
cykelstativ.74,3243,0080,Aldersrogade,0,Nørrebro,Model 32,På fortovsudvidelse,Enkeltsidet,Vinkelret,8,Ikke registreret,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (722910.148891333 6179032.53785931)
cykelstativ.75,1184,0088,Allersgade,0,Nørrebro,Andet,På facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,,,Indmålt med GPS,2001-08-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (722867.543829066 6178041.72525737)
cykelstativ.76,1181,0088,Allersgade,0,Nørrebro,Andet,På facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,,,Indmålt med GPS,2001-08-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (722892.793286246 6178065.53334623)
cykelstativ.77,5585,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722655.226671594 6174491.19566636)
cykelstativ.78,1736,0096,Alsgade,0,Vesterbro-Kongens Enghave,Model 32,På facade,Enkeltsidet,Vinkelret,24,Ikke registreret,,,Indmålt med GPS,2001-08-22T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (722640.341122053 6174495.87125077)
cykelstativ.79,1735,0096,Alsgade,0,Vesterbro-Kongens Enghave,Model 32,På facade,Enkeltsidet,Vinkelret,14,Ikke registreret,,Tvivl om det er KK´s inventar,Indmålt med GPS,2001-08-22T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (722639.996687194 6174472.10813172)
cykelstativ.80,5589,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,4,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722665.477372473 6174488.91276987)
cykelstativ.81,4262,0096,Alsgade,0,Vesterbro-Kongens Enghave,Model 32,På facade,Enkeltsidet,Vinkelret,8,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (722565.0648784641 6174501.81982283)
cykelstativ.82,4249,0096,Alsgade,0,Vesterbro-Kongens Enghave,Andet,På facade,Enkeltsidet,Vinkelret,6,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (722640.015904736 6174473.43288629)
cykelstativ.83,4248,0096,Alsgade,0,Vesterbro-Kongens Enghave,Andet,På facade,Enkeltsidet,Vinkelret,6,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (722647.027019102 6174471.78322254)
cykelstativ.84,5584,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722630.631810684 6174498.7191201)
cykelstativ.85,5583,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722627.634933049 6174499.63585098)
cykelstativ.86,5582,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722625.246775829 6174500.36637713)
cykelstativ.87,5581,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722622.295101288 6174501.2692806)
cykelstativ.88,5580,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722619.508917865 6174502.1215611)
cykelstativ.89,5579,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,4,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722617.131197216 6174502.84889473)
cykelstativ.90,5578,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,4,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722615.414976322 6174504.12046534)
cykelstativ.91,5588,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,3,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722663.726110067 6174488.5957274)
cykelstativ.92,5587,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722661.234987372 6174489.35775033)
cykelstativ.93,5586,0096,Alsgade,0,Vesterbro-Kongens Enghave,Noli,Andet,Enkeltsidet,Vinkelret,5,Ikke registreret,,,Digitaliseret manuelt,2014-08-26T08:43:35,2018-08-09T11:04:28.195,,,,,2,POINT (722658.33149816 6174490.24591426)
cykelstativ.94,2026,0108,Amagerbrogade,0,Amager Øst,NO,På fortov,Enkeltsidet,Vinkelret,15,Ikke registreret,,,Indmålt med GPS,2001-08-21T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (727204.276222864 6173376.41037394)
cykelstativ.95,2041,0108,Amagerbrogade,0,Amager Øst,Model 32,På facade,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,,,Indmålt med GPS,2001-08-21T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (727279.669094932 6173150.04716331)
cykelstativ.96,2769,0108,Amagerbrogade,0,Amager Vest,Noli,På fortov,Enkeltsidet,Vinkelret,2,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (726795.5972574339 6174110.88861383)
cykelstativ.97,2770,0108,Amagerbrogade,0,Amager Vest,Noli,På fortov,Enkeltsidet,Vinkelret,2,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (726790.379773009 6174116.54083563)
cykelstativ.98,2773,0108,Amagerbrogade,0,Amager Øst,Noli,På fortovsudvidelse,Dobbeltsidet,Vinkelret,2,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (726549.232738524 6174464.54849754)
cykelstativ.99,2774,0108,Amagerbrogade,0,Amager Øst,Noli,På fortovsudvidelse,Dobbeltsidet,Vinkelret,2,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (726541.3310519239 6174468.09626629)
cykelstativ.100,2776,0108,Amagerbrogade,0,Amager Øst,Noli,På fortovsudvidelse,Dobbeltsidet,Vinkelret,2,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (726513.912430554 6174518.70751136)
cykelstativ.101,2777,0108,Amagerbrogade,0,Amager Øst,Noli,På fortovsudvidelse,Dobbeltsidet,Vinkelret,2,Ikke registreret,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (726509.77820971 6174513.71126622)
